passage_id,question,passage
2001_1371.txt-Art. 64.,"Do czego jest obowiązany inspektor w przypadku, gdy w wyniku użycia broni palnej doszło do wyrządzenia szkody w mieniu?","1. Jeżeli wskutek użycia broni palnej następuje zranienie lub zachodzi podejrzenie śmierci osoby, inspektor jest obowiązany, bez zbędnej zwłoki, do udzielenia pierwszej pomocy i niezwłocznego wezwania lekarza oraz powiadomienia najbliższej jednostki Policji. 2. W przypadkach, o których mowa w ust. 1, oraz gdy w wyniku użycia broni palnej doszło do wyrządzenia szkody w mieniu, inspektor jest obowiązany ponadto do zabezpieczenia śladów na miejscu zdarzenia i niedopuszczenia na to miejsce osób trzecich oraz jeżeli jest to możliwe "" ustalenia świadków zdarzenia."
1997_555.txt-Art. 235.,"Jeśli ustawa nie stanowi inaczej, w jakim postępowaniu dokonuje czynności prokurator?","Sąd dokonuje czynności przewidzianych w tym rozdziale w postępowaniu sądowym, a prokurator w postępowaniu przygotowawczym, chyba że ustawa stanowi inaczej."
1997_555.txt-Art. 357.,"Jakie pozwolenia sąd może wydać przedstawicielom radia, telewizji, filmu i prasy?","§ 1. Sąd może zezwolić przedstawicielom radia, telewizji, filmu i prasy na dokonywanie za pomocą aparatury utrwaleń obrazu i dźwięku z przebiegu rozprawy, gdy uzasadniony interes społeczny za tym przemawia, dokonywanie tych czynności nie będzie utrudniać prowadzenia rozprawy, a ważny interes uczestnika postępowania temu się nie sprzeciwia. § 2. Sąd może określić warunki, od których uzależnia wydanie zezwolenia przewidzianego w § 1."
2004_879.txt-Art. 31.,"Które dane powinno zawierać zaświadczenie kierowcy, które on musi przedstawić do przeprowadzenia kontroli?","1. Kierowca, który w określonych dniach nie prowadził pojazdu albo prowadził pojazd, do którego nie mają zastosowania przepisy rozporządzenia nr 3820/85/EWG, na żądanie osoby uprawnionej do przeprowadzenia kontroli przedstawia zaświadczenie, które powinno zawierać w szczególności następujące dane: imię i nazwisko kierowcy, okres, którego dotyczy, wskazanie przyczyny nieposiadania wykresówek, o których mowa w art. 15 ust. 7 rozporządzenia nr 3821/85/EWG, miejsce i data wystawienia, podpis pracodawcy. 2. Zaświadczenie, o którym mowa w ust. 1, pracodawca wystawia i wręcza kierowcy przed rozpoczęciem przez kierowcę przewozu drogowego. W przypadku gdy kierowca w określonych dniach nie prowadził pojazdu w trakcie wykonywania danego zadania przewozowego, pracodawca niezwłocznie wystawia i przekazuje zaświadczenie na żądanie osoby uprawnionej do przeprowadzenia kontroli. 3. Przepisy ust. 1 i 2 stosuje się odpowiednio do przedsiębiorcy osobiście wykonującego przewozy drogowe, z tym że przedsiębiorca przedkłada stosowne oświadczenie. Rozdział 5 Przepisy końcowe"
2001_1229.txt-Art. 154.,Przez kogo jest prowadzony kataster wodny dla obszaru państwa?,"1. Kataster wodny, o którym mowa w art. 153, prowadzi się dla obszaru państwa z uwzględnieniem podziału państwa na obszary dorzeczy i regiony wodne. 2. Kataster wodny dla obszaru państwa prowadzony jest przez Prezesa Krajowego Zarządu i obejmuje dane określone w art. 153 ust. 2 pkt 1-3 i 10 oraz w ust. 3. 3. Kataster wodny dla regionu wodnego prowadzony jest przez dyrektora regionalnego zarządu i obejmuje dane określone w art. 153 ust. 2 i 3."
2001_1403.txt-Art. 17.,Kto mianuje lub odwołuje Ambasadora?,"1. Ambasadora mianuje i odwołuje Prezydent Rzeczypospolitej Polskiej na wniosek ministra właściwego do spraw zagranicznych, zaakceptowany przez Prezesa Rady Ministrów. 2. Ambasador, z zastrzeżeniem art. 16 pkt 2, podlega służbowo ministrowi właściwemu do spraw zagranicznych. 3. Prezes Rady Ministrów, na wniosek ministra właściwego do spraw zagranicznych, określi, w drodze zarządzenia, formę i tryb wydawania poleceń ambasadorowi, kierując się zadaniami służby zagranicznej i potrzebami polityki państwa."
1999_802.txt-Art. 25.,W jakich przypadkach można zwolnić funkcjonariusza celnego ze służby?,"1. Funkcjonariusza celnego zwalnia się ze służby w wypadku: 1) orzeczenia trwałej niezdolności do służby, 2) wymierzenia kary dyscyplinarnej wydalenia ze służby, 3) skazania prawomocnym wyrokiem sądu za przestępstwo popełnione umyślnie, 4) zrzeczenia się obywatelstwa polskiego, 5) nieprzydatności do służby, stwierdzonej w ocenie okresowej lub opinii służbowej w okresie służby przygotowawczej, 6) odmowy złożenia ślubowania, 7) prawomocnego orzeczenia utraty praw publicznych, 8) prawomocnego orzeczenia zakazu wykonywania zawodu funkcjonariusza celnego, 9) odmowy wykonania decyzji w sprawie przeniesienia, o którym mowa w art. 18 ust. 2 i 4, 10) zgłoszenia przez funkcjonariusza celnego pisemnego żądania zwolnienia ze służby, 11) trwałej utraty zdolności fizycznej lub psychicznej do pełnienia służby na zajmowanym stanowisku, stwierdzonej przez lekarza orzecznika Zakładu Ubezpieczeń Społecznych, jeżeli nie ma możliwości pełnienia służby przez funkcjonariusza celnego na innym stanowisku, odpowiednim do jego stanu zdrowia i kwalifikacji zawodowych albo gdy funkcjonariusz celny odmawia przejścia na takie stanowisko. 2. W wypadku zgłoszenia pisemnego żądania zwolnienia, o którym mowa w ust. 1 pkt 10, funkcjonariusza celnego zwalnia się ze służby w terminie do 3 miesięcy od dnia tego zgłoszenia. 3. Odwołanie osób powołanych na wyższe stanowiska kierownicze w jednostkach organizacyjnych Służby Celnej regulują przepisy Kodeksu celnego. 4. Odwołanie, o którym mowa w ust. 3 powoduje, z zastrzeżeniem ust. 5 i 6, zwolnienie z jednostki organizacyjnej Służby Celnej. 5. Jeżeli osoby, o których mowa w ust. 3, były powołane spośród funkcjonariuszy celnych, to ich odwołanie ze stanowiska nie powoduje zwolnienia ze służby, a wyznaczenie stanowisk, na których będą pełnić służbę po odwołaniu należy do kompetencji kierownika urzędu, w którym poprzednio pełnili służbę. 6. Do pracowników administracyjnych zatrudnionych przed powołaniem w jednostkach organizacyjnych Służby Celnej ust. 5 stosuje się odpowiednio."
1999_802.txt-Art. 57.,"Co przysługuje funkcjonariuszowi celnemu, który na podstawie innych przepisów wykonuje stałe zadania służbowe poza polskim obszarem celnym?","1. Funkcjonariuszowi celnemu, który na podstawie innych przepisów wykonuje stałe zadania służbowe poza polskim obszarem celnym przysługuje ryczałt na pokrycie kosztów wyżywienia i innych drobnych wydatków. 2. Minister właściwy do spraw finansów publicznych  określi, w drodze rozporządzenia, walutę i wysokość ryczałtu, o którym mowa w ust. 1. Wysokość ryczałtu należy określić w zależności od liczby godzin wykonywania zadań przez funkcjonariusza celnego na dobę."
1997_933.txt-Art. 2.,Co jest przedmiotem działalności funduszu inwestycyjnego?,"1. Fundusz inwestycyjny jest osobą prawną, której wyłącznym przedmiotem działalności jest lokowanie środków pieniężnych zebranych publicznie w określone w ustawie papiery wartościowe i inne prawa majątkowe. 2. Fundusz inwestycyjny prowadzi działalność, przestrzegając zasad ograniczania ryzyka inwestycyjnego określonych w ustawie. 3. Organizację i sposób działania funduszu inwestycyjnego określają ustawa oraz jego statut."
1997_776.txt-Art. 52.,Kto jest obowiązany do udzielania pomocy Instytutowi Pamięci w realizacji zadań Instytutu?,"Organy wymiaru sprawiedliwości, prokuratury, organy i jednostki organizacyjne podległe, nadzorowane lub podporządkowane Ministrowi Spraw Wewnętrznych i Administracji, Ministrowi Obrony Narodowej, Ministrowi Spraw Zagranicznych i Szefowi Urzędu Ochrony Państwa oraz organy administracji rządowej i samorządu terytorialnego są obowiązane, każdy w zakresie swojego działania, do udzielania pomocy Instytutowi Pamięci w realizacji zadań Instytutu Pamięci, o których mowa w art. 1. Rozdział 6 Funkcje edukacyjne Instytutu Pamięci"
